file_id,split,transcript,corpus,match_ratio,template
clip_00688,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07209,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07044,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01658,test,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_01279,train,airplane is almost full,CREMA-D,0.92,the airplane is almost full
clip_10064,train,just a load of clock,UNKNOWN,0.5455,its 11 oclock
clip_06140,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07180,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_09991,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_07923,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03448,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_02694,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_03108,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_06785,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_05738,train,well stop in a couple of minutes,CREMA-D,1.0,well stop in a couple of minutes
clip_09959,train,dont forget to check it,CREMA-D,0.7442,dont forget a jacket
clip_04385,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07894,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01211,train,say the word mop,TESS,1.0,say the word
clip_00039,train,say the word road,TESS,1.0,say the word
clip_01472,train,say the word rose,TESS,1.0,say the word
clip_04987,train,say the word rag,TESS,1.0,say the word
clip_04889,train,say the word came,TESS,1.0,say the word
clip_05349,train,say the word whip,TESS,1.0,say the word
clip_02681,train,say the word jinn,TESS,1.0,say the word
clip_10781,train,say the word no,TESS,1.0,say the word
clip_04566,train,say the word wag,TESS,1.0,say the word
clip_04798,train,say the word mop,TESS,1.0,say the word
clip_08296,train,say the word phone,TESS,1.0,say the word
clip_09139,train,say the word paul,TESS,1.0,say the word
clip_09208,train,say the word peg,TESS,1.0,say the word
clip_10604,train,say the word date,TESS,1.0,say the word
clip_04783,train,say the word hit,TESS,1.0,say the word
clip_10528,train,say the word chalk,TESS,1.0,say the word
clip_06435,train,say the word puff,TESS,1.0,say the word
clip_07456,train,say the word perch,TESS,1.0,say the word
clip_10258,train,say the word hash,TESS,1.0,say the word
clip_03002,train,say the word lid,TESS,1.0,say the word
clip_01978,train,say the word youth,TESS,1.0,say the word
clip_06183,train,say the word raise,TESS,1.0,say the word
clip_08754,train,say the word fit,TESS,1.0,say the word
clip_02435,train,say the word weak,TESS,1.0,say the word
clip_05389,train,say the word haze,TESS,1.0,say the word
clip_03573,train,say the word fall,TESS,1.0,say the word
clip_02114,train,say the word room,TESS,1.0,say the word
clip_00457,train,say the word walk,TESS,1.0,say the word
clip_01024,train,say the word size,TESS,1.0,say the word
clip_04453,train,say the word vote,TESS,1.0,say the word
clip_10643,train,say the words said,TESS,1.0,say the word
clip_09825,train,say the word yes,TESS,1.0,say the word
clip_06730,train,say the word voice,TESS,1.0,say the word
clip_07002,train,say the word soup,TESS,1.0,say the word
clip_05020,train,say the word gap,TESS,1.0,say the word
clip_04809,train,say the word five,TESS,1.0,say the word
clip_04050,train,say the word thumb,TESS,1.0,say the word
clip_00767,train,say the word soup,TESS,1.0,say the word
clip_07986,train,say the word goal,TESS,1.0,say the word
clip_09911,train,say the word least,TESS,1.0,say the word
clip_09600,train,say the word most,TESS,1.0,say the word
clip_10623,train,say the word hit,TESS,1.0,say the word
clip_04469,train,say the word wire,TESS,1.0,say the word
clip_08848,train,say the word far,TESS,1.0,say the word
clip_04314,train,say the word bag,TESS,1.0,say the word
clip_10155,train,say the word goose,TESS,1.0,say the word
clip_03259,train,say the word live,TESS,1.0,say the word
clip_09835,train,say the word nag,TESS,1.0,say the word
clip_06491,train,say the word should,TESS,1.0,say the word
clip_07176,train,say the word key,TESS,1.0,say the word
clip_01893,train,say the word fat,TESS,1.0,say the word
clip_04467,train,say the word chain,TESS,1.0,say the word
clip_02995,train,say the word dime,TESS,1.0,say the word
clip_10209,train,say the word juice,TESS,1.0,say the word
clip_02468,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06500,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_02479,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_08025,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_08982,train,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_08511,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_08186,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_07106,train,i wonder what this is about,CREMA-D,1.0,i wonder what this is about
clip_05860,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06017,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_06543,train,just 11 oclock,CREMA-D,0.8148,its 11 oclock
clip_06177,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_06873,train,kiss 11 oclock,CREMA-D,0.8889,its 11 oclock
clip_03238,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_02872,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_04036,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06751,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_10707,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01985,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_01783,train,thats 11 oclock,CREMA-D,0.8571,its 11 oclock
clip_07416,train,say the word fit,TESS,1.0,say the word
clip_04763,train,say the word white,TESS,1.0,say the word
clip_09439,train,say the word hurl,TESS,1.0,say the word
clip_00303,train,say the word rag,TESS,1.0,say the word
clip_02085,train,say the word purl,TESS,1.0,say the word
clip_09752,train,say the word cool,TESS,1.0,say the word
clip_08887,train,say the word take,TESS,1.0,say the word
clip_09771,train,say the word being,TESS,1.0,say the word
clip_02523,train,say the word team,TESS,1.0,say the word
clip_10841,train,say the word bath,TESS,1.0,say the word
clip_00123,train,say the word third,TESS,1.0,say the word
clip_09343,train,say the word sub,TESS,1.0,say the word
clip_04998,train,say the word king,TESS,1.0,say the word
clip_06554,train,say the word reach,TESS,1.0,say the word
clip_09471,train,say the word mode,TESS,1.0,say the word
clip_06727,train,say the word thin,TESS,1.0,say the word
clip_03971,train,say the word tip,TESS,1.0,say the word
clip_08846,train,say the word deep,TESS,1.0,say the word
clip_01503,train,say the word pike,TESS,1.0,say the word
clip_10866,train,say the word lot,TESS,1.0,say the word
clip_09110,train,say the word join,TESS,1.0,say the word
clip_09143,train,say the word pick,TESS,1.0,say the word
clip_07426,train,say the word luck,TESS,1.0,say the word
clip_03327,train,say the word chair,TESS,1.0,say the word
clip_01581,train,say the word rain,TESS,1.0,say the word
clip_05843,train,say the word deep,TESS,1.0,say the word
clip_01296,train,say the word thin,TESS,1.0,say the word
clip_09798,train,say the word bar,TESS,1.0,say the word
clip_07743,train,say the word rough,TESS,1.0,say the word
clip_08561,train,say the word luck,TESS,1.0,say the word
clip_03872,train,say the word live,TESS,1.0,say the word
clip_01128,train,say the word live,TESS,1.0,say the word
clip_05890,train,say the word nice,TESS,1.0,say the word
clip_06218,train,say the word shawl,TESS,1.0,say the word
clip_08441,train,say the word lean,TESS,1.0,say the word
clip_08107,train,say the word merge,TESS,1.0,say the word
clip_08497,train,say the word chief,TESS,1.0,say the word
clip_04822,train,say the word ring,TESS,1.0,say the word
clip_01151,train,say the word life,TESS,1.0,say the word
clip_02682,train,say the word yearn,TESS,1.0,say the word
clip_03227,train,say the word yes,TESS,1.0,say the word
clip_05139,train,say the word knock,TESS,1.0,say the word
clip_07908,train,say the word third,TESS,1.0,say the word
clip_00573,train,say the word pass,TESS,1.0,say the word
clip_09232,train,say the word tell,TESS,1.0,say the word
clip_04707,train,say the word boat,TESS,1.0,say the word
clip_04954,train,say the word raise,TESS,1.0,say the word
clip_05373,train,say the word time,TESS,1.0,say the word
clip_05235,train,say the word king,TESS,1.0,say the word
clip_02907,train,say the word dull,TESS,1.0,say the word
clip_04147,train,say the word make,TESS,1.0,say the word
clip_06581,train,say the word rush,TESS,1.0,say the word
clip_05865,train,say the word burn,TESS,1.0,say the word
clip_09378,train,say the words shall,TESS,1.0,say the word
clip_05975,train,say the word juice,TESS,1.0,say the word
clip_10131,train,say the word came,TESS,1.0,say the word
clip_08925,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_00255,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_09821,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10490,train,11 oclock,CREMA-D,0.8182,its 11 oclock
clip_00168,train,until 11 oclock,CREMA-D,0.7857,its 11 oclock
clip_03860,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03293,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03374,train,i wonder what this is about,CREMA-D,1.0,i wonder what this is about
clip_07494,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_06820,train,so 11 oclock,CREMA-D,0.88,its 11 oclock
clip_03120,train,flug a clock,UNKNOWN,0.56,its 11 oclock
clip_00091,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_02934,train,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_02793,train,dont forget to check it,CREMA-D,0.7442,dont forget a jacket
clip_01847,train,i wonder what this is about,CREMA-D,1.0,i wonder what this is about
clip_02006,train,dont forget to jack it,CREMA-D,0.8571,dont forget a jacket
clip_04920,train,and maybe tomorrow it will be cold,CREMA-D,0.9375,maybe tomorrow it will be cold
clip_08199,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_00231,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_00792,train,i wonder what this is about,CREMA-D,1.0,i wonder what this is about
clip_02366,train,11 oclock,CREMA-D,0.8182,its 11 oclock
clip_08814,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06652,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01467,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_07499,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01720,train,this is opening clock,UNKNOWN,0.5882,its 11 oclock
clip_02195,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07451,train,i wonder what this is about,CREMA-D,1.0,i wonder what this is about
clip_04063,train,dont forget a jacket,CREMA-D,1.0,dont forget a jacket
clip_05625,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10755,train,say the word book,TESS,1.0,say the word
clip_06246,train,say the word pain,TESS,1.0,say the word
clip_03773,train,say the word burn,TESS,1.0,say the word
clip_01628,train,say the word when,TESS,1.0,say the word
clip_02905,train,say the words shout,TESS,1.0,say the word
clip_02680,train,say the word tough,TESS,1.0,say the word
clip_02304,train,say the word when,TESS,1.0,say the word
clip_08114,train,say the word red,TESS,1.0,say the word
clip_05357,train,say the word match,TESS,1.0,say the word
clip_06413,train,say the word near,TESS,1.0,say the word
clip_04882,train,say the word neat,TESS,1.0,say the word
clip_01765,train,say the word get,TESS,1.0,say the word
clip_03262,train,say the word dodge,TESS,1.0,say the word
clip_10867,train,say the word check,TESS,1.0,say the word
clip_10836,train,say the word death,TESS,1.0,say the word
clip_09264,train,say the word team,TESS,1.0,say the word
clip_04571,train,say the word mouse,TESS,1.0,say the word
clip_04758,train,say the word gas,TESS,1.0,say the word
clip_07028,train,say the word dead,TESS,1.0,say the word
clip_01504,train,say the word rat,TESS,1.0,say the word
clip_01969,train,say the word thought,TESS,1.0,say the word
clip_09564,train,say the word back,TESS,1.0,say the word
clip_10143,train,say the word kick,TESS,1.0,say the word
clip_10423,train,say the word have,TESS,1.0,say the word
clip_00685,train,say the word rush,TESS,1.0,say the word
clip_03555,train,say the word hush,TESS,1.0,say the word
clip_10266,train,say the word tire,TESS,1.0,say the word
clip_06128,train,say the word choice,TESS,1.0,say the word
clip_07806,train,say the word half,TESS,1.0,say the word
clip_03003,train,say the word germ,TESS,1.0,say the word
clip_09720,train,say the word jar,TESS,1.0,say the word
clip_07304,train,say the word lodge,TESS,1.0,say the word
clip_08645,train,say the word shirk,TESS,1.0,say the word
clip_03416,train,say the word cab,TESS,1.0,say the word
clip_10045,train,say the word ripe,TESS,1.0,say the word
clip_09601,train,say the word half,TESS,1.0,say the word
clip_02615,train,say the word shaq,TESS,1.0,say the word
clip_03506,train,say the word higher,TESS,1.0,say the word
clip_07683,train,say the word name,TESS,1.0,say the word
clip_07485,train,say the word pass,TESS,1.0,say the word
clip_00661,train,say the word king,TESS,1.0,say the word
clip_10089,train,say the word big,TESS,1.0,say the word
clip_01297,train,say the word tough,TESS,1.0,say the word
clip_08579,train,say the word said,TESS,1.0,say the word
clip_04270,train,say the word bar,TESS,1.0,say the word
clip_03171,train,say the word bone,TESS,1.0,say the word
clip_07658,train,say the word far,TESS,1.0,say the word
clip_02216,train,say the word jug,TESS,1.0,say the word
clip_06311,train,say the word ton,TESS,1.0,say the word
clip_07091,train,say the word sail,TESS,1.0,say the word
clip_00891,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_08204,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01871,train,dont forget to jack it,CREMA-D,0.8571,dont forget a jacket
clip_07956,train,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_00865,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_00502,train,ill have a clock,UNKNOWN,0.5517,its 11 oclock
clip_09919,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_01716,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_00895,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10289,train,i think ive seen this before,CREMA-D,1.0,i think ive seen this before
clip_07924,train,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_06753,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_04073,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_02043,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06635,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10161,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
