file_id,transcript
clip_03942,its 11 oclock
clip_09466,airplane is almost full
clip_07828,well stop in a couple of minutes
clip_06683,dont forget a jacket
clip_00028,its 11 oclock
clip_02083,the surface is slick
clip_06926,kids are talking by the door
clip_02063,say the word cell
clip_01685,say the word should
clip_02450,i would like a new alarm clock
clip_07367,its 11 oclock
clip_08285,its 11 oclock
clip_06741,dogs are sitting by the door
clip_03744,say the word thin
clip_07285,dogs are sitting by the door
clip_07704,its 11 oclock
clip_08745,i would like an oldarm clock
clip_09808,maybe tomorrow it will be cold
clip_06679,the surface is slick
clip_00394,that is exactly what happened
clip_00036,that is exactly what happened
clip_06400,say the word road
clip_08085,i think i have a doctors appointment
clip_08967,the surface is slick
clip_01750,maybe tomorrow it will be cold
clip_01256,its 11 oclock
clip_08804,maybe tomorrow it will be cold
clip_04679,i would like a new alarm clock
clip_01406,its 11 oclock
clip_06398,that is exactly what happened
clip_05841,the airplane is almost full
clip_05996,well stop in a couple of minutes
clip_05599,dogs are sitting by the door
clip_08974,i think i have a doctors appointment
clip_04094,i want my way to the meeting
clip_06450,its 11 oclock
clip_03111,i wonder what this is about
clip_06713,its 11 oclock
clip_02531,its 11 oclock
clip_05964,the airplane is almost full
clip_07818,that is exactly what happened
clip_05249,dont forget a jacket
clip_07805,the surface is slick
clip_06166,i think ive seen this before
clip_09552,say the word dab
clip_03324,dont forget to jack it
clip_06026,i would like to do a long clock
clip_06774,will stop in a couple of minutes
clip_01931,i think i have a doctors appointment
clip_07854,well stop in a couple of minutes
clip_01752,well stop in a couple of minutes
clip_01136,that is exactly what happened
clip_00139,well stop in a couple of minutes
clip_08018,the airplane is almost full
clip_04092,i think ive seen this before
clip_01769,say the word pass
clip_08014,i wonder what this is about
clip_04171,till im in a clock
clip_09406,the surface is slick
clip_05512,the surface is slick
clip_10387,maybe tomorrow it will be cold
clip_03640,im on my way to the meeting
clip_09708,say the word keep
clip_09153,maybe tomorrow it will be cold
clip_05389,say the word haze
clip_07057,kids are talking by the door
clip_03901,dogs are sitting by the door
clip_00521,well stop in a couple of minutes
clip_09746,say the word youth
clip_07564,i think i have a doctors appointment
clip_00313,say the word dull
clip_03147,well stop in a couple of minutes
clip_08610,say the word hate
clip_05785,kids are talking by the door
clip_03035,say the word hush
clip_04197,i wonder what this is about
clip_09856,kids are talking by the door
clip_00283,i think ive seen this before
clip_03771,its 11 oclock
clip_06639,say the word date
clip_02975,the surface is slick
clip_02310,its 11 oclock
clip_01542,dogs are sitting by the door
clip_06388,its 11 oclock
clip_01591,say the word doll
clip_10334,dont forget a jacket
clip_09100,the surface is slick
clip_00339,the airplane is almost full
clip_08413,that is exactly what happened
clip_00597,say the word tell
clip_00801,say the word void
clip_08471,its 11 oclock
clip_06112,dont forget to joke it
clip_05942,its 11 oclock
clip_00468,say the word sail
clip_06083,i would like a new alarm clock
clip_02334,say the word puff
clip_09043,say the word void
clip_04763,say the word white
clip_02044,say the word date
clip_03590,kids are talking about the door
clip_07165,maybe tomorrow it will be cold
clip_04856,maybe tomorrow it will be cold
clip_04433,i think ive seen this before
clip_00599,that is exactly what happened
clip_04899,i wonder what this is about
clip_06474,kids are talking by the door
clip_09070,the surface is slick
clip_10082,kids are talking by the door
clip_05793,say the word dime
clip_09650,dogs are sitting by the door
clip_06658,say the word name
clip_03864,that is exactly what happened
clip_01825,the airplane is almost full
clip_04987,say the word rag
clip_06314,its 11 oclock
clip_05215,that is exactly what happened
clip_05183,say the word puff
clip_04124,im on my way to the meeting
clip_01352,the surface is slick
clip_04062,the surface is slick
clip_04866,i think ive seen this before
clip_03209,say the word shout
clip_08912,say the word team
clip_08799,i wonder what this is about
clip_07783,say the word shirt
clip_06605,say the word whip
clip_08056,the airplane is almost full
clip_05292,well stop in a couple of minutes
clip_07577,that is exactly what happened
clip_02045,say the word should
clip_03803,i would like to do a barn clock
clip_04254,i would like to do a long clock
clip_03389,im on my way to the meeting
clip_05484,i think ive seen this before
clip_04583,kids are talking by the door
clip_10399,im on my way to the meeting
clip_00971,say the word calm
clip_02564,i think i have a doctors appointment
clip_01226,im on my way to the meeting
clip_03945,theres 11 oclock
clip_06753,its 11 oclock
clip_00373,i would like a new alarm clock
clip_00803,its 11 oclock
clip_06816,i would like a new alarm clock
clip_03341,its 11 oclock
clip_06710,the airplane is almost full
clip_03674,kids are talking by the door
clip_08059,say the word match
clip_04147,say the word make
clip_10011,dont forget a jacket
clip_04521,im out by way to the meeting
clip_00662,i would like a new alarm clock
clip_08054,that is exactly what happened
clip_02168,i would like a new alarm clock
clip_01600,its 11 oclock
clip_02615,say the word shaq
clip_03868,i think ive seen this before
clip_05528,say the word boat
clip_01471,i would like a new alarm clock
clip_04627,dogs are sitting by the door
clip_05543,baby tomorrow it will be cold
clip_05012,say the word war
clip_04931,say the word learn
clip_01916,its 11 oclock
clip_01701,its 11 oclock
clip_02598,the surface is slick
clip_03515,the surface is slick
clip_06142,its 11 oclock
clip_03546,that is exactly what happened
clip_10592,i would like a new alarm clock
clip_04055,well stop at a couple of minutes
clip_08104,that is exactly what happened
clip_05442,the surface is slick
clip_10449,that is exactly what happened
clip_07532,im all my way to the meeting
clip_06803,the surface is slick
clip_05414,im on my way to the meeting
clip_00253,i think ive seen this before
clip_02234,i would like a new alarm clock
clip_06587,say the word lean
clip_04772,kids are talking by the door
clip_01327,say the word raid
clip_04792,i would like a new alarm clock
clip_02659,dont forget a jacket
clip_02400,its 11 oclock
