file_id,pseudo_speaker,cluster_size,corpus_guess
clip_00073,spk_043,256,CREMA-D
clip_00074,spk_060,214,CREMA-D
clip_00075,spk_018,1197,TESS
clip_00077,spk_015,388,CREMA-D
clip_00078,spk_001,218,CREMA-D
clip_00079,spk_026,1537,TESS
clip_00080,spk_078,101,CREMA-D
clip_00081,spk_033,32,RAVDESS
clip_00082,spk_025,1495,TESS
clip_00084,spk_002,173,CREMA-D
clip_00086,spk_015,388,CREMA-D
clip_00087,spk_038,198,CREMA-D
clip_00088,spk_018,1197,TESS
clip_00089,spk_025,1495,TESS
clip_00090,spk_015,388,CREMA-D
clip_00091,spk_005,33,RAVDESS
clip_00092,spk_025,1495,TESS
clip_00094,spk_010,176,CREMA-D
clip_00095,spk_034,28,RAVDESS
clip_00096,spk_028,472,CREMA-D
clip_00097,spk_041,37,RAVDESS
clip_00098,spk_028,472,CREMA-D
clip_00099,spk_025,1495,TESS
clip_00100,spk_028,472,CREMA-D
clip_00101,spk_018,1197,TESS
clip_00102,spk_025,1495,TESS
clip_00104,spk_025,1495,TESS
clip_00105,spk_018,1197,TESS
clip_00106,spk_026,1537,TESS
clip_00107,spk_018,1197,TESS
clip_00108,spk_018,1197,TESS
clip_00109,spk_039,34,RAVDESS
clip_00110,spk_026,1537,TESS
clip_00111,spk_075,20,RAVDESS
clip_00113,spk_010,176,CREMA-D
clip_00114,spk_025,1495,TESS
clip_00115,spk_088,186,CREMA-D
clip_00116,spk_028,472,CREMA-D
clip_00117,spk_078,101,CREMA-D
clip_00118,spk_055,125,CREMA-D
clip_00119,spk_002,173,CREMA-D
clip_00120,spk_034,28,RAVDESS
clip_00121,spk_026,1537,TESS
clip_00122,spk_018,1197,TESS
clip_00123,spk_018,1197,TESS
clip_00124,spk_021,264,CREMA-D
clip_00126,spk_025,1495,TESS
clip_00127,spk_026,1537,TESS
clip_00128,spk_088,186,CREMA-D
clip_00129,spk_008,17,RAVDESS
clip_00130,spk_015,388,CREMA-D
clip_00131,spk_024,27,RAVDESS
clip_00132,spk_008,17,RAVDESS
clip_00133,spk_018,1197,TESS
clip_00135,spk_026,1537,TESS
clip_00136,spk_015,388,CREMA-D
clip_00137,spk_031,9,RAVDESS
clip_00138,spk_025,1495,TESS
clip_00139,spk_045,60,RAVDESS
clip_00141,spk_026,1537,TESS
clip_00142,spk_021,264,CREMA-D
clip_00143,spk_026,1537,TESS
clip_00144,spk_094,457,CREMA-D
clip_00145,spk_094,457,CREMA-D
clip_00146,spk_045,60,RAVDESS
clip_00147,spk_029,272,CREMA-D
clip_00148,spk_033,32,RAVDESS
clip_00149,spk_026,1537,TESS
clip_00150,spk_043,256,CREMA-D
clip_00151,spk_026,1537,TESS
clip_00152,spk_026,1537,TESS
clip_00153,spk_029,272,CREMA-D
clip_00154,spk_028,472,CREMA-D
clip_00155,spk_025,1495,TESS
clip_00157,spk_043,256,CREMA-D
clip_00158,spk_026,1537,TESS
clip_00159,spk_018,1197,TESS
clip_00160,spk_018,1197,TESS
clip_00161,spk_018,1197,TESS
clip_00162,spk_025,1495,TESS
clip_00163,spk_007,79,CREMA-D
clip_00164,spk_025,1495,TESS
clip_00165,spk_026,1537,TESS
clip_00166,spk_078,101,CREMA-D
clip_00167,spk_028,472,CREMA-D
clip_00168,spk_001,218,CREMA-D
clip_00169,spk_018,1197,TESS
clip_00170,spk_026,1537,TESS
clip_00171,spk_039,34,RAVDESS
clip_00172,spk_029,272,CREMA-D
clip_00173,spk_043,256,CREMA-D
clip_00174,spk_026,1537,TESS
clip_00176,spk_026,1537,TESS
clip_00177,spk_025,1495,TESS
clip_00178,spk_025,1495,TESS
clip_00179,spk_002,173,CREMA-D
clip_00180,spk_079,12,RAVDESS
clip_00182,spk_033,32,RAVDESS
clip_00185,spk_040,19,RAVDESS
clip_00186,spk_094,457,CREMA-D
clip_00187,spk_026,1537,TESS
clip_00188,spk_043,256,CREMA-D
clip_00189,spk_028,472,CREMA-D
clip_00191,spk_018,1197,TESS
clip_00192,spk_071,8,RAVDESS
clip_00193,spk_026,1537,TESS
clip_00194,spk_025,1495,TESS
clip_00195,spk_016,13,RAVDESS
clip_00196,spk_026,1537,TESS
clip_00197,spk_088,186,CREMA-D
clip_00200,spk_025,1495,TESS
clip_00201,spk_075,20,RAVDESS
clip_00203,spk_047,15,RAVDESS
clip_00205,spk_094,457,CREMA-D
clip_00206,spk_026,1537,TESS
clip_00207,spk_025,1495,TESS
clip_00208,spk_021,264,CREMA-D
clip_00209,spk_028,472,CREMA-D
clip_00210,spk_025,1495,TESS
clip_00211,spk_029,272,CREMA-D
clip_00212,spk_025,1495,TESS
clip_00213,spk_025,1495,TESS
clip_00215,spk_010,176,CREMA-D
clip_00216,spk_060,214,CREMA-D
clip_00217,spk_026,1537,TESS
clip_00218,spk_010,176,CREMA-D
clip_00219,spk_001,218,CREMA-D
clip_00220,spk_006,58,RAVDESS
clip_00221,spk_018,1197,TESS
clip_00222,spk_015,388,CREMA-D
clip_00223,spk_018,1197,TESS
clip_00224,spk_005,33,RAVDESS
clip_00225,spk_018,1197,TESS
clip_00226,spk_026,1537,TESS
clip_00227,spk_018,1197,TESS
clip_00228,spk_060,214,CREMA-D
clip_00229,spk_030,6,RAVDESS
clip_00230,spk_026,1537,TESS
clip_00231,spk_029,272,CREMA-D
clip_00232,spk_020,71,CREMA-D
clip_00233,spk_060,214,CREMA-D
clip_00234,spk_002,173,CREMA-D
clip_00235,spk_026,1537,TESS
clip_00236,spk_060,214,CREMA-D
clip_00237,spk_018,1197,TESS
clip_00238,spk_055,125,CREMA-D
clip_00240,spk_025,1495,TESS
clip_00241,spk_028,472,CREMA-D
clip_00242,spk_007,79,CREMA-D
clip_00244,spk_027,96,CREMA-D
clip_00245,spk_018,1197,TESS
clip_00246,spk_001,218,CREMA-D
clip_00247,spk_025,1495,TESS
clip_00248,spk_017,19,RAVDESS
clip_00249,spk_042,6,RAVDESS
clip_00250,spk_018,1197,TESS
clip_00251,spk_025,1495,TESS
clip_00252,spk_038,198,CREMA-D
clip_00253,spk_033,32,RAVDESS
clip_00254,spk_025,1495,TESS
clip_00255,spk_060,214,CREMA-D
clip_00256,spk_018,1197,TESS
clip_00257,spk_037,14,RAVDESS
clip_00258,spk_018,1197,TESS
clip_00259,spk_043,256,CREMA-D
clip_00262,spk_026,1537,TESS
clip_00264,spk_010,176,CREMA-D
clip_00265,spk_043,256,CREMA-D
clip_00266,spk_007,79,CREMA-D
clip_00267,spk_026,1537,TESS
clip_00268,spk_026,1537,TESS
clip_00269,spk_055,125,CREMA-D
clip_00270,spk_026,1537,TESS
clip_00271,spk_026,1537,TESS
clip_00272,spk_043,256,CREMA-D
clip_00274,spk_026,1537,TESS
clip_00275,spk_026,1537,TESS
clip_00276,spk_018,1197,TESS
clip_00277,spk_065,6,RAVDESS
clip_00278,spk_025,1495,TESS
clip_00279,spk_018,1197,TESS
clip_00280,spk_026,1537,TESS
clip_00281,spk_025,1495,TESS
clip_00282,spk_001,218,CREMA-D
clip_00283,spk_026,1537,TESS
clip_00285,spk_025,1495,TESS
clip_00286,spk_038,198,CREMA-D
clip_00287,spk_088,186,CREMA-D
clip_00288,spk_002,173,CREMA-D
clip_00289,spk_010,176,CREMA-D
clip_00290,spk_018,1197,TESS
clip_00291,spk_026,1537,TESS
clip_00292,spk_015,388,CREMA-D
clip_00293,spk_011,96,CREMA-D
clip_00294,spk_020,71,CREMA-D
clip_00295,spk_028,472,CREMA-D
clip_00296,spk_061,6,RAVDESS
clip_00297,spk_026,1537,TESS
clip_00298,spk_026,1537,TESS
clip_00299,spk_029,272,CREMA-D
clip_00300,spk_021,264,CREMA-D
clip_00301,spk_069,8,RAVDESS
clip_00302,spk_021,264,CREMA-D
clip_00303,spk_018,1197,TESS
clip_00304,spk_068,29,RAVDESS
clip_00305,spk_015,388,CREMA-D
clip_00307,spk_015,388,CREMA-D
clip_00311,spk_078,101,CREMA-D
clip_00312,spk_026,1537,TESS
clip_00313,spk_026,1537,TESS
clip_00314,spk_094,457,CREMA-D
clip_00315,spk_001,218,CREMA-D
clip_00316,spk_026,1537,TESS
clip_00317,spk_015,388,CREMA-D
clip_00318,spk_018,1197,TESS
clip_00319,spk_001,218,CREMA-D
clip_00320,spk_044,6,RAVDESS
clip_00321,spk_012,106,CREMA-D
clip_00322,spk_010,176,CREMA-D
clip_00323,spk_025,1495,TESS
clip_00324,spk_094,457,CREMA-D
clip_00325,spk_028,472,CREMA-D
clip_00326,spk_016,13,RAVDESS
clip_00328,spk_026,1537,TESS
clip_00329,spk_015,388,CREMA-D
clip_00330,spk_015,388,CREMA-D
clip_00331,spk_018,1197,TESS
clip_00332,spk_028,472,CREMA-D
clip_00333,spk_018,1197,TESS
clip_00334,spk_045,60,RAVDESS
clip_00335,spk_021,264,CREMA-D
clip_00336,spk_039,34,RAVDESS
clip_00337,spk_022,48,RAVDESS
clip_00339,spk_060,214,CREMA-D
clip_00340,spk_018,1197,TESS
clip_00341,spk_060,214,CREMA-D
clip_00343,spk_002,173,CREMA-D
clip_00344,spk_085,49,RAVDESS
clip_00345,spk_094,457,CREMA-D
clip_00346,spk_025,1495,TESS
clip_00348,spk_038,198,CREMA-D
clip_00349,spk_014,23,RAVDESS
clip_00350,spk_010,176,CREMA-D
clip_00351,spk_026,1537,TESS
clip_00352,spk_005,33,RAVDESS
clip_00353,spk_026,1537,TESS
clip_00354,spk_021,264,CREMA-D
clip_00355,spk_018,1197,TESS
clip_00356,spk_006,58,RAVDESS
clip_00357,spk_018,1197,TESS
clip_00358,spk_094,457,CREMA-D
clip_00361,spk_044,6,RAVDESS
clip_00362,spk_056,6,RAVDESS
clip_00363,spk_006,58,RAVDESS
clip_00364,spk_026,1537,TESS
clip_00365,spk_019,11,RAVDESS
clip_00366,spk_025,1495,TESS
clip_00367,spk_025,1495,TESS
clip_00368,spk_025,1495,TESS
clip_00370,spk_025,1495,TESS
clip_00371,spk_025,1495,TESS
clip_00372,spk_038,198,CREMA-D
clip_00373,spk_012,106,CREMA-D
clip_00374,spk_017,19,RAVDESS
clip_00375,spk_025,1495,TESS
clip_00376,spk_026,1537,TESS
clip_00377,spk_010,176,CREMA-D
clip_00378,spk_025,1495,TESS
clip_00380,spk_026,1537,TESS
clip_00381,spk_025,1495,TESS
clip_00382,spk_028,472,CREMA-D
clip_00383,spk_026,1537,TESS
clip_00386,spk_015,388,CREMA-D
clip_00388,spk_026,1537,TESS
clip_00389,spk_005,33,RAVDESS
clip_00390,spk_075,20,RAVDESS
clip_00391,spk_015,388,CREMA-D
clip_00392,spk_015,388,CREMA-D
clip_00393,spk_026,1537,TESS
clip_00394,spk_015,388,CREMA-D
clip_00395,spk_026,1537,TESS
clip_00396,spk_025,1495,TESS
clip_00398,spk_060,214,CREMA-D
clip_00401,spk_026,1537,TESS
clip_00402,spk_001,218,CREMA-D
clip_00403,spk_029,272,CREMA-D
clip_00405,spk_094,457,CREMA-D
clip_00406,spk_025,1495,TESS
clip_00407,spk_018,1197,TESS
clip_00408,spk_026,1537,TESS
clip_00410,spk_038,198,CREMA-D
clip_00411,spk_010,176,CREMA-D
clip_00412,spk_018,1197,TESS
clip_00413,spk_078,101,CREMA-D
clip_00414,spk_025,1495,TESS
clip_00416,spk_006,58,RAVDESS
clip_00417,spk_026,1537,TESS
clip_00418,spk_025,1495,TESS
clip_00419,spk_021,264,CREMA-D
clip_00420,spk_094,457,CREMA-D
clip_00421,spk_047,15,RAVDESS
clip_00422,spk_094,457,CREMA-D
clip_00423,spk_018,1197,TESS
clip_00424,spk_026,1537,TESS
clip_00425,spk_078,101,CREMA-D
clip_00426,spk_026,1537,TESS
clip_00427,spk_001,218,CREMA-D
clip_00428,spk_018,1197,TESS
clip_00429,spk_011,96,CREMA-D
clip_00430,spk_026,1537,TESS
clip_00432,spk_028,472,CREMA-D
clip_00433,spk_006,58,RAVDESS
clip_00434,spk_094,457,CREMA-D
clip_00435,spk_026,1537,TESS
clip_00436,spk_086,7,RAVDESS
clip_00437,spk_020,71,CREMA-D
clip_00438,spk_094,457,CREMA-D
clip_00439,spk_025,1495,TESS
clip_00440,spk_026,1537,TESS
clip_00441,spk_015,388,CREMA-D
clip_00443,spk_094,457,CREMA-D
clip_00444,spk_025,1495,TESS
clip_00445,spk_025,1495,TESS
clip_00446,spk_025,1495,TESS
clip_00448,spk_028,472,CREMA-D
clip_00449,spk_026,1537,TESS
clip_00450,spk_055,125,CREMA-D
clip_00451,spk_025,1495,TESS
clip_00452,spk_026,1537,TESS
clip_00453,spk_025,1495,TESS
clip_00454,spk_060,214,CREMA-D
clip_00455,spk_025,1495,TESS
clip_00456,spk_004,29,RAVDESS
clip_00457,spk_018,1197,TESS
clip_00458,spk_018,1197,TESS
clip_00459,spk_075,20,RAVDESS
clip_00460,spk_025,1495,TESS
clip_00461,spk_028,472,CREMA-D
clip_00462,spk_025,1495,TESS
clip_00464,spk_025,1495,TESS
clip_00465,spk_026,1537,TESS
clip_00466,spk_025,1495,TESS
clip_00467,spk_025,1495,TESS
clip_00468,spk_026,1537,TESS
clip_00469,spk_080,38,RAVDESS
clip_00470,spk_060,214,CREMA-D
clip_00471,spk_094,457,CREMA-D
clip_00472,spk_038,198,CREMA-D
clip_00473,spk_025,1495,TESS
clip_00476,spk_025,1495,TESS
clip_00477,spk_018,1197,TESS
clip_00478,spk_041,37,RAVDESS
clip_00479,spk_038,198,CREMA-D
clip_00480,spk_088,186,CREMA-D
clip_00481,spk_088,186,CREMA-D
clip_00482,spk_006,58,RAVDESS
clip_00483,spk_018,1197,TESS
clip_00484,spk_028,472,CREMA-D
clip_00485,spk_028,472,CREMA-D
clip_00486,spk_043,256,CREMA-D
clip_00487,spk_094,457,CREMA-D
clip_00488,spk_028,472,CREMA-D
clip_00489,spk_029,272,CREMA-D
clip_00490,spk_049,23,RAVDESS
clip_00492,spk_043,256,CREMA-D
clip_00493,spk_049,23,RAVDESS
clip_00494,spk_015,388,CREMA-D
clip_00495,spk_088,186,CREMA-D
clip_00496,spk_088,186,CREMA-D
clip_00497,spk_001,218,CREMA-D
clip_00498,spk_026,1537,TESS
clip_00499,spk_018,1197,TESS
clip_00500,spk_060,214,CREMA-D
clip_00501,spk_026,1537,TESS
clip_00502,spk_025,1495,TESS
clip_00503,spk_026,1537,TESS
clip_00504,spk_011,96,CREMA-D
clip_00505,spk_025,1495,TESS
clip_00506,spk_038,198,CREMA-D
clip_00507,spk_026,1537,TESS
clip_00508,spk_028,472,CREMA-D
clip_00509,spk_029,272,CREMA-D
clip_00510,spk_026,1537,TESS
clip_00511,spk_018,1197,TESS
clip_00512,spk_026,1537,TESS
clip_00513,spk_074,10,RAVDESS
clip_00514,spk_060,214,CREMA-D
clip_00515,spk_012,106,CREMA-D
clip_00516,spk_026,1537,TESS
clip_00518,spk_018,1197,TESS
clip_00519,spk_026,1537,TESS
clip_00521,spk_002,173,CREMA-D
clip_00523,spk_021,264,CREMA-D
clip_00524,spk_088,186,CREMA-D
clip_00525,spk_025,1495,TESS
clip_00526,spk_075,20,RAVDESS
clip_00527,spk_094,457,CREMA-D
clip_00528,spk_014,23,RAVDESS
clip_00529,spk_025,1495,TESS
clip_00530,spk_088,186,CREMA-D
clip_00531,spk_018,1197,TESS
clip_00532,spk_069,8,RAVDESS
clip_00534,spk_002,173,CREMA-D
clip_00535,spk_018,1197,TESS
clip_00536,spk_018,1197,TESS
clip_00537,spk_055,125,CREMA-D
clip_00538,spk_026,1537,TESS
clip_00539,spk_026,1537,TESS
clip_00540,spk_078,101,CREMA-D
clip_00541,spk_026,1537,TESS
clip_00542,spk_033,32,RAVDESS
clip_00543,spk_018,1197,TESS
clip_00544,spk_026,1537,TESS
clip_00545,spk_018,1197,TESS
clip_00546,spk_018,1197,TESS
clip_00547,spk_025,1495,TESS
clip_00548,spk_012,106,CREMA-D
clip_00550,spk_026,1537,TESS
clip_00551,spk_026,1537,TESS
clip_00552,spk_094,457,CREMA-D
clip_00553,spk_094,457,CREMA-D
clip_00554,spk_022,48,RAVDESS
clip_00555,spk_078,101,CREMA-D
clip_00556,spk_018,1197,TESS
clip_00558,spk_028,472,CREMA-D
clip_00559,spk_055,125,CREMA-D
clip_00560,spk_094,457,CREMA-D
clip_00561,spk_028,472,CREMA-D
clip_00562,spk_026,1537,TESS
clip_00563,spk_062,4,RAVDESS
clip_00566,spk_025,1495,TESS
clip_00567,spk_039,34,RAVDESS
clip_00568,spk_025,1495,TESS
clip_00570,spk_018,1197,TESS
clip_00571,spk_078,101,CREMA-D
clip_00572,spk_026,1537,TESS
clip_00573,spk_018,1197,TESS
clip_00574,spk_018,1197,TESS
clip_00575,spk_026,1537,TESS
clip_00576,spk_012,106,CREMA-D
clip_00578,spk_055,125,CREMA-D
clip_00579,spk_094,457,CREMA-D
clip_00580,spk_025,1495,TESS
clip_00581,spk_025,1495,TESS
clip_00582,spk_055,125,CREMA-D
clip_00583,spk_026,1537,TESS
clip_00584,spk_025,1495,TESS
clip_00586,spk_055,125,CREMA-D
clip_00587,spk_025,1495,TESS
clip_00588,spk_025,1495,TESS
clip_00589,spk_026,1537,TESS
clip_00590,spk_025,1495,TESS
clip_00592,spk_026,1537,TESS
clip_00593,spk_011,96,CREMA-D
clip_00594,spk_026,1537,TESS
clip_00596,spk_028,472,CREMA-D
clip_00597,spk_026,1537,TESS
clip_00598,spk_017,19,RAVDESS
clip_00599,spk_025,1495,TESS
clip_00600,spk_018,1197,TESS
clip_00603,spk_024,27,RAVDESS
clip_00604,spk_015,388,CREMA-D
clip_00605,spk_018,1197,TESS
clip_00606,spk_025,1495,TESS
clip_00607,spk_026,1537,TESS
clip_00608,spk_018,1197,TESS
clip_00609,spk_026,1537,TESS
clip_00610,spk_012,106,CREMA-D
clip_00611,spk_029,272,CREMA-D
clip_00612,spk_010,176,CREMA-D
clip_00613,spk_026,1537,TESS
clip_00614,spk_009,53,RAVDESS
clip_00615,spk_021,264,CREMA-D
clip_00616,spk_026,1537,TESS
clip_00617,spk_043,256,CREMA-D
clip_00618,spk_026,1537,TESS
clip_00619,spk_038,198,CREMA-D
clip_00620,spk_025,1495,TESS
clip_00622,spk_018,1197,TESS
clip_00623,spk_016,13,RAVDESS
clip_00624,spk_007,79,CREMA-D
clip_00625,spk_026,1537,TESS
clip_00626,spk_025,1495,TESS
clip_00627,spk_088,186,CREMA-D
clip_00628,spk_026,1537,TESS
clip_00629,spk_015,388,CREMA-D
clip_00630,spk_088,186,CREMA-D
clip_00632,spk_026,1537,TESS
clip_00633,spk_025,1495,TESS
clip_00634,spk_018,1197,TESS
clip_00636,spk_026,1537,TESS
clip_00637,spk_043,256,CREMA-D
clip_00638,spk_025,1495,TESS
clip_00639,spk_025,1495,TESS
clip_00640,spk_088,186,CREMA-D
clip_00641,spk_015,388,CREMA-D
clip_00642,spk_079,12,RAVDESS
clip_00643,spk_002,173,CREMA-D
clip_00645,spk_018,1197,TESS
clip_00648,spk_026,1537,TESS
clip_00649,spk_010,176,CREMA-D
clip_00650,spk_038,198,CREMA-D
clip_00652,spk_011,96,CREMA-D
clip_00653,spk_026,1537,TESS
clip_00654,spk_018,1197,TESS
clip_00655,spk_025,1495,TESS
clip_00656,spk_026,1537,TESS
clip_00657,spk_088,186,CREMA-D
clip_00658,spk_038,198,CREMA-D
clip_00659,spk_025,1495,TESS
clip_00661,spk_018,1197,TESS
clip_00662,spk_025,1495,TESS
clip_00663,spk_038,198,CREMA-D
clip_00664,spk_010,176,CREMA-D
clip_00665,spk_025,1495,TESS
clip_00666,spk_018,1197,TESS
clip_00667,spk_018,1197,TESS
clip_00668,spk_025,1495,TESS
clip_00670,spk_029,272,CREMA-D
clip_00671,spk_028,472,CREMA-D
clip_00672,spk_029,272,CREMA-D
clip_00673,spk_026,1537,TESS
clip_00674,spk_024,27,RAVDESS
clip_00675,spk_010,176,CREMA-D
clip_00677,spk_012,106,CREMA-D
clip_00678,spk_025,1495,TESS
clip_00679,spk_026,1537,TESS
clip_00680,spk_026,1537,TESS
clip_00681,spk_021,264,CREMA-D
clip_00682,spk_012,106,CREMA-D
clip_00683,spk_018,1197,TESS
clip_00684,spk_012,106,CREMA-D
clip_00685,spk_018,1197,TESS
clip_00687,spk_026,1537,TESS
clip_00688,spk_015,388,CREMA-D
clip_00689,spk_026,1537,TESS
clip_00690,spk_094,457,CREMA-D
clip_00691,spk_025,1495,TESS
clip_00693,spk_025,1495,TESS
clip_00694,spk_034,28,RAVDESS
clip_00696,spk_002,173,CREMA-D
clip_00698,spk_000,6,RAVDESS
clip_00699,spk_026,1537,TESS
clip_00700,spk_080,38,RAVDESS
clip_00701,spk_029,272,CREMA-D
clip_00702,spk_026,1537,TESS
clip_00703,spk_018,1197,TESS
clip_00704,spk_015,388,CREMA-D
clip_00705,spk_015,388,CREMA-D
clip_00706,spk_038,198,CREMA-D
clip_00707,spk_020,71,CREMA-D
clip_00709,spk_012,106,CREMA-D
clip_00710,spk_002,173,CREMA-D
clip_00711,spk_025,1495,TESS
clip_00712,spk_014,23,RAVDESS
clip_00713,spk_018,1197,TESS
clip_00714,spk_007,79,CREMA-D
clip_00715,spk_025,1495,TESS
clip_00716,spk_026,1537,TESS
clip_00717,spk_025,1495,TESS
clip_00719,spk_026,1537,TESS
clip_00721,spk_074,10,RAVDESS
clip_00722,spk_094,457,CREMA-D
clip_00725,spk_025,1495,TESS
clip_00726,spk_015,388,CREMA-D
clip_00727,spk_043,256,CREMA-D
clip_00728,spk_060,214,CREMA-D
clip_00729,spk_094,457,CREMA-D
clip_00730,spk_094,457,CREMA-D
clip_00731,spk_001,218,CREMA-D
clip_00732,spk_021,264,CREMA-D
clip_00733,spk_060,214,CREMA-D
clip_00735,spk_026,1537,TESS
clip_00737,spk_025,1495,TESS
clip_00738,spk_094,457,CREMA-D
clip_00739,spk_018,1197,TESS
clip_00740,spk_018,1197,TESS
clip_00741,spk_028,472,CREMA-D
clip_00742,spk_043,256,CREMA-D
clip_00743,spk_006,58,RAVDESS
clip_00744,spk_001,218,CREMA-D
clip_00746,spk_088,186,CREMA-D
clip_00747,spk_018,1197,TESS
clip_00748,spk_038,198,CREMA-D
clip_00749,spk_017,19,RAVDESS
clip_00750,spk_018,1197,TESS
clip_00751,spk_002,173,CREMA-D
clip_00752,spk_060,214,CREMA-D
clip_00754,spk_018,1197,TESS
clip_00755,spk_025,1495,TESS
clip_00756,spk_026,1537,TESS
clip_00757,spk_018,1197,TESS
clip_00758,spk_021,264,CREMA-D
clip_00759,spk_063,3,RAVDESS
clip_00760,spk_001,218,CREMA-D
clip_00761,spk_015,388,CREMA-D
clip_00762,spk_007,79,CREMA-D
clip_00764,spk_060,214,CREMA-D
clip_00765,spk_028,472,CREMA-D
clip_00766,spk_012,106,CREMA-D
clip_00767,spk_018,1197,TESS
clip_00769,spk_015,388,CREMA-D
clip_00770,spk_021,264,CREMA-D
clip_00771,spk_038,198,CREMA-D
clip_00773,spk_018,1197,TESS
clip_00774,spk_025,1495,TESS
clip_00775,spk_026,1537,TESS
clip_00776,spk_028,472,CREMA-D
clip_00777,spk_084,5,RAVDESS
clip_00781,spk_026,1537,TESS
clip_00782,spk_018,1197,TESS
clip_00783,spk_043,256,CREMA-D
clip_00784,spk_025,1495,TESS
clip_00785,spk_018,1197,TESS
clip_00786,spk_029,272,CREMA-D
clip_00787,spk_027,96,CREMA-D
clip_00788,spk_025,1495,TESS
clip_00789,spk_015,388,CREMA-D
clip_00790,spk_026,1537,TESS
clip_00791,spk_028,472,CREMA-D
clip_00792,spk_088,186,CREMA-D
clip_00793,spk_026,1537,TESS
clip_00794,spk_038,198,CREMA-D
clip_00795,spk_026,1537,TESS
clip_00796,spk_025,1495,TESS
clip_00797,spk_001,218,CREMA-D
clip_00798,spk_038,198,CREMA-D
clip_00799,spk_038,198,CREMA-D
clip_00800,spk_029,272,CREMA-D
clip_00801,spk_026,1537,TESS
clip_00803,spk_026,1537,TESS
clip_00804,spk_060,214,CREMA-D
clip_00805,spk_025,1495,TESS
clip_00806,spk_018,1197,TESS
clip_00807,spk_001,218,CREMA-D
clip_00808,spk_026,1537,TESS
clip_00809,spk_018,1197,TESS
clip_00810,spk_007,79,CREMA-D
clip_00811,spk_050,11,RAVDESS
clip_00812,spk_025,1495,TESS
clip_00813,spk_015,388,CREMA-D
clip_00814,spk_025,1495,TESS
clip_00815,spk_026,1537,TESS
clip_00816,spk_026,1537,TESS
clip_00817,spk_006,58,RAVDESS
clip_00818,spk_017,19,RAVDESS
clip_00819,spk_060,214,CREMA-D
clip_00820,spk_012,106,CREMA-D
clip_00822,spk_025,1495,TESS
clip_00823,spk_043,256,CREMA-D
clip_00824,spk_015,388,CREMA-D
clip_00825,spk_043,256,CREMA-D
clip_00826,spk_025,1495,TESS
clip_00827,spk_025,1495,TESS
clip_00828,spk_025,1495,TESS
clip_00829,spk_025,1495,TESS
clip_00830,spk_018,1197,TESS
clip_00832,spk_018,1197,TESS
clip_00833,spk_026,1537,TESS
clip_00835,spk_068,29,RAVDESS
clip_00836,spk_025,1495,TESS
clip_00837,spk_029,272,CREMA-D
clip_00838,spk_002,173,CREMA-D
clip_00839,spk_078,101,CREMA-D
clip_00841,spk_018,1197,TESS
clip_00842,spk_010,176,CREMA-D
clip_00843,spk_018,1197,TESS
clip_00845,spk_026,1537,TESS
