id,text,dialect
68,امي ماحببتو والله رجعلي رح تصير توجعني حطيلي الشوز السبورت بكيس بدي اخدو بلبسو من اتعب,0
69,انا لازم ارجع على البيت بخاف تفقدني شهد وقلتلك بدك تترك كل شي للوقت مستحيل ارجع خاطر بعلاقتي ببنتي بعد ما وصلت لهل مرحله يلا باي,0
70,وترجعلو البطاقه عباره عن حفله تدوير اموال,3
71,مهو ازا مش بغرفتي لعاد بوحده من التنتين يا بغرفه امي و ابوي يا بغرفه اخواني الشباب,3
72,انا بعته بعد شهر,2
73,فانتي اعطيها ابتسامه واسكتي بنغاظوا اكتر لا بطولوا منك حق ولا باطل,2
74,الله يعين البنت بالمناسبات جد,3
75,بتطلع الجاره وانتا بتكون قاعد بالغرفه بتكون ختمت القرآن والادعيه وخايف وناشف دمك,3
76,نصيحه اعملي بما يرضي الله تعالى وبعدها عجبها كان بها ما عجبها بلاش انسي الموضوع وعنو ما عجبها,2
77,انا مو زعلانه ع اشي هلأ غير انو ليش تحقو مخاوفي التلات و الرابعه تاعت الخطيفه ما تحقت ليش ما خطفني الوسيم الحقير,3
78,ضجه البلد بقصه و جمعيات حقوق المرأه كلهن انتفضو صارت كأنها رمز لأضطهاد المرأه و ظلمها,0
79,فرح اخت حلفت ما تساعد ب اشي لانها متدايقه انها عزمتهم وهي عندها امتحان بكرا وام ما عندها مشكله اصلا ام طلعت تجيب فواكه من الخضرجي موز عشويه تفاح مع كيوي وحبه اناناس ديكور تنحط عالطاوله لانو عيب الجماعه جايين اول مره بعد كتب الكتاب,3
80,وبالنهايهالدنيا دولاب ولي ظلم رح ينظلم والله بياخد الحق ودعوه المظلوم مافي بينا وبين ربا حجاب,0
81,وطلعت و انا معصب و صرت خاف منو كتير و حاول ضل بغرفتي,0
82,اوبك تحسن توقعاتها حول الطلب على النفط في عام,1
83,خلينا نعترف انو اغلب طرقات بتوص ل عالموت,1
84,هزت راسها بفرح ورجعت تطلع على ابنها,0
85,وكانت عينو على و طلب يخطبها بس رفض واعترض,0
86,الحلقه ولعانه الليله مع الاعلامي ب كونوا على الموعد عبر شاشه المؤسه للارسال,1
87,وبديش يوخدو سكرين شوت لجوابك ويذكروكي فيه بعد شهر,3
88,العمى معقول ما تحملت الجرعه لك شو هالمصيببه,0
89,من اول ما صحيت,3
90,خالتو خالتو انطري وين رايحه بهالسرعه شو صار يابنتي ليش بتبكي ييوه شو ساويت يا,0
91,هه هي جايه اتعزي ولا جايه تحتفل شو قله هالذوق اقلك حتى القهوه خساره فيها,2
92,انا يعني شو ناقصني هي عندي زوج و هيني انا بعمل حالي زيها هاي البطله شو بتفرق عني,3
93,قانون الجروب على بوست مثبت اول ماتدخل,3
94,لا لا صاحبه الانجاز هي الانسه مرح لولاها ما كنت بقدر اعمل شي,0
95,جديلها شفر فيهم يتمرج,1
96,طنشي طنشي ولايكون في بالك ياستي بالناقص من حبها انتي اعملي اللي عليكي وخلص,2
97,خليني قول مسا لنشوف في خير,1
98,زهقنا حمل الكتب و حمل المواد و سندويشات الزنجر و النسكافيه,3
99,و هيا وإياه بتزوجو هه,2
100,و مو معبر حدا شايف حالو بس صراحه حقو لإنو لحيتو مكتمله و طوله طول النخله و بلعب حديد شكلو و مش قادره اوصف قديش ساحر,3
101,في حدا فايت على البيت خليكي برا,0
102,رؤيه ابو لأهل ثلث ثلث دحلان والثلث الاخير بيكره ابو,2
103,كلامك صح ياسائده ترجع غلى شغلها احسن منه واعتبريه ولا كانه موجود,2
104,مهيب الله يوطي راسها بنت وحده وفضحتنا ونحنا ست رجال والله لاشرب من دمها,0
105,لا اكيد صار شي اكيد,0
106,المشكله زوجي شبه صفايه المجلى مع هيك اخدتو ع قد عقلو و لفيت وجهي عالبنت و جحرتها و تطلعت عليها بقرف,3
107,انهارت اعصلبي على يومين و اهلي فهمو انو علاقتي انا و خلصت,0
108,يعني روح ع غرفتك,3
109,بهداك اليوم ستي بس كانت ترتاح وتوكل حصريا كبده مشان الغزا يعني الغذاء,3
110,هه خلفي بنت ياسميه بالهطريقه,2
111,انتي حره وهالشي بيرجعلك والموضوع بده تفكير في ظل ظروفنا الصعبه يعني ولد ولا بنت كله بده مصاريف بس ازا فكرتي تحملي قبل ما تحملي روحي ع دكتور في بيعملولك طرق لتجيبي ولد وان شاء الله ربنا بيرزقك,2
112,هي بدها حد يقولها انه بحبها و بيتلبك بس يشوفها خخ,2
113,و بعدين طالت من الخزانه افيع فستان عندها,3
114,امين يا رب الله يسمع منك,0
115,حنان و ازا التلك منتعالج و منجيب ابنا,0
116,من الصيدليه جافكسون اول ماتشربي منه بروح عطول بلحظتها,2
117,و انا كنت قاعد باكل اندومي البخار تبعو كلو متكاثف ع حواجبي و من كتر ما راسي غاطس بالصحن,3
118,ركضت و جابتلها و شربتها,0
119,النجم باسم و النجم الليله في الساعه على شاشه و,1
120,حماتي ما في اطيب من قلبها,2
121,و جبت قلم كحله و كتبت فيه التالي,3
122,ملك الطنبوره عيب عيب عيب كواليتي يا كواليتي,1
123,يعني اذا الارصاد الجويه كذابين,3
124,والله هي الشغله بايدك بقى,0
125,اقسم بالله منتهى التسلط انو اول هديه يجيبها نقاب ال يعني هيا كانت شمال عند اهلها وانت عندك بدك تخليها السيده عائشه اول هديه نقاب حتى الهديه اللي مفروض تفرح قلبها تكون شغله هيك يعني لو هيا مقتنعه تتبرقع مش تتنقب بس اول هديه هيك والله شغله مستفزه عليم الله لو جوزي عملها لقطعتو,2
126,عاد تنجح ترسب تحمل مواد يحرمك دكتور يخلص مصروفك تنصح من الشاورما تلتحق بالوقت تندعس ونتا بتركض ع محاضره ما حدا بدرى عنك,3
127,ما قدر يتطلع بعيونها لأ والله كتير حلوه,0
128,نفس مشكلتي بعرفش ارد,2
129,مسحت ام سمير دموعها و قعدت جنب و حطت ايدها على كتفها احكيلي الحقيقه هربت مع,0
130,مشيت باتجاهو وانا مبتسمه مع ان البي كان عم يرجف ورح يطلع من محلو,0
131,صدقتك معناها بالمعجم يا كذاب,1
132,انك عايش بي غابه,1
133,انو فش اشي بضيع هيك عند ربنا,3
134,انو تعلمنا من ماسي الحرب ونحن شعب واحد لبلد واحد يا ريت,1
135,يوم تتحرر ويصبح العرب يدا واحده,1
136,وحاولي وانتي بتحكي تمثليلو الحركه بالإشاره,3
137,الله وكيلك ابني عمره شهور وبدهم اياني اجيب كمان,2
138,و فجأه لفت وجهها علي و قالت انتا ما بدك تستحي ع دمك,3
139,يلا نمشي بدنا نكمل عزايم,0
140,انو نقبل نتغرب نحنا كمان فينا نتمتع بحري تنا ون ع امل كبشر,1
141,يزم بعرض النور تتغطى منيح وإنت نايم,3
142,سمعت صوت باب انفتح,0
143,بعد فقره ومفاجاه عطيه الغير متوقعه اصبح هاشتاغ هيدا حكي الاول في,1
144,من للبنات هلأ هيدا الشبك الي عم تلبسوه تحت البنطلون ما بفوت برغش يعني,1
145,في قصه تانيه زلمه نصاب متفق مع فئه من الجن يطفشو المستأجرين,2
146,من رعبتها قطعت بين السيارات بدون انتباه وضربتها سياره اخوتها الي بلا شرف اخدو ابنها منها وهربو الكاميرات لقطتهم وقدرو,0
147,المشكله مش بالكلام بل بالموسيقى نفسها اما الحرمانيه بتكون في الكلام اذا كان تعدى حدود الادب لانو عندك افراح الدف الكلمات جميله وفيها ولكن بحدود الادب يعني الحرام بكون ازا تعدت هاد الحدود واغاني ههاليوم ما شاء الله,2
148,انا مو نبهتك,0
149,ولا يهمك عمي الله يرحمو لابي كان يقلي عنك كل خير,0
150,ابو لا رن ولا سأل ولا مسج ولا رنه واتساب بالغلط ولا حس ولا خبر,3
151,الاسى ما بنتسى ولو حامله عليكى راح ضل العمر تدعى عليكي وتتحسبن,2
152,قامو اربع نسوان مع بعض ولحقوها وقعدنا نحنا مطرحهن وامي عم تولول وتقلي مشان خلينا نطلع وانا قلها اصبري شوي لنشوف شو عم يصير جوا,0
153,سلفتك مدام حتكون ساكنه مع حماتك راح تاخد الجو عنك يا غلبانه ويمكن سلافك ياخدو عليها اكتر منك ديري بالك منها انا بس بهدي النفوس,2
154,شو هاد الشوز شو صغير شو هاي لبيبي هه شو مزحه هاي,0
155,وانا يابابا مارح انساك انا ماهاين عليه اترك انت وامي انا بحبك يا احن اب بالكون,0
156,ام اختك ما عم تكذب,0
157,بس طبعا تنضيف السجاد بالبيت الي فيو قرود لآ يتم ع خير ابدا و صعب جدا تحبسهم بغرفه بطلعولك من المزراب من البربيش من اي مكان بالنسبه الهم هاد مهرجان مائي لازم يحتفلو فيه,3
158,و البني ادم ازا شبع من شغله بدور ع اشي تاني مستحيل يكتفي بشبعه وحده,3
159,طيب احكي معي شبك,0
160,كانت شام تروح ورا باب المضافه تتسمع وتجي تقلنا شو صار,0
161,نفس المعادله اللي حاولنا نوصلهالك امبارح يعامر بعلوشه وتصريحات الهباش والحمد الله اكدت ذلك اليوم,2
162,انا هيك صار معي,2
163,نظيفه و ريحه الياسمين عم تفوح منا,0
164,في مقدمه كل شي,1
165,الله يسعدك ويريح قلبك,1
166,ريم امم لا ما تروح,0
167,و يمكن رب العالمين حب يهون علي مصيبتي,0
168,عشا ما كنت جوعان,0
169,اي شو بدن نعمل,1
170,تستتاب ثلاثا فإن لم تتوب تقتل هه,2
171,يعني كيف افهمكم ياها من كتر ما هو جحش و فجعان و نذل لف الي بالصحن مع الي لسا بدي اكله مع الي صرت هاضمه و قاعد بتغلغل بأمعائي الحزلقوميه كلو بشوكه وحده,3
172,جهاد ماما انتي عم تبالغي كتير ما في داعي لكل هالتكلف هاد,0
173,طلعت الموبايل وقلتلها هاد جوال وعليه كل رسائلك هون,0
174,معتر كيف ما خلق كيف تا يكون متحول,1
175,اتطلعت فيه و كان الوجع جوا بقلبي مو على خدي اتطلعت بعيوني و عدت الجمله وقلتلو,0
176,اصلا كيف بتقبلي علي حالك تاخدي واحد متزوج وعندو زوجه واطفال والل ه بتسيري بتم وحكي كل اهلك عليكي,2
177,الي تسببلي بكل الأسى والوجع والحزن,0
178,هه ايه هدول يا دوب يكفوك حق ادويتك لشهر,0
179,هديك اليوم كنت بالمول,3
180,انو النيابي ومجلس الوزراء في بيشتغل كرمال الشعب,1
181,شو عم تسمعي انا عايش ومش عايش يعني منجي منعزي او لا,1
182,ببلد ما في اخلاق وكل شعبو ازعر,1
183,و اتفقو تاني نهار يجو نكتب الكتاب و ياخدوني الجماعه,0
184,والله الواحد مو ناقصوا وجع قلب كيف ترمي ضناها دمها قلبها مهماكانت الظروف حسبي الله ونعم الوكيل,2
185,شو احكي للصيديلي تحاميل شو اسمها,2
186,عارفين ازواجنا مش ملائكه بس مشكلتها بتقهر وتنزيلها للبوست شو بدها نحلها مثلا خلص عملت الي عليها شو ضل وادا بتقول بيجي عرسان وبيروحو عادي لسا ما اجا نصيبها عادي هيا تنساه وتشيلو من راسها لا تفكر كتير,2
187,اللي حاس اني متغير عليه او شي يعزمني على مطعم ونتفاهم نحن وعم ناكل,1
188,بتكون مدلعه اقسى عليها,2
189,ولك دخيل الله كيف اتجرأ وعملها واجا يخطب اختك هدا مابيستحي اصلا وخبيث ظلمك وظلم حالو وظلم الاهم يلي هيا اختك يلي ما الها دخل كل هدا حقود بدو ينتقم منك ما اعتقد بيوم حب هدا بس بعرف ينتقم الله ع هيك اشكال,2
190,ابي كان مرتب كل شي دفعلنا اجار البيت سنه لقدام و دار ضهرو و مشي ليسعالنا بحياه احسن,0
191,سكرت الخط و البها عم يرفرف من الفرح رح تشوف الصبح,0
192,بتروح شغله نفسيه يشوف الترك,2
193,و ما حسيت بحالي غير انا طايره بالسما خبطني خبطه عليم الله شكلو تفتفت عضمي,3
194,تطلعت فيه وشفايفها عم يرجفو,0
195,براحتهم استوعبوا ولا لا كل حر بحاله,2
196,والله اد ما كان البي مليان عليها قلت ما بجوز من الله هالحكي هلا بيدبحوها,0
197,شو ما عرفتيني,0
198,انو الحياه بتمتحن صبرك بالناس البهايم يلي حواليك,1
199,وانا والله شو بدنا نعمل,0
200,اديه بدك اجرتك,0
201,انتي فاعل الخير لكن,0
202,و معها جوزها و ابنهم,3
203,بتكون ما حاسه انها حامل وهاي النوعيه من الاجسام بعد ببلش بطنهن تظهر وبعدو الجنين صغير كتير لازمها اهتمام وغذا منيح وراحه,0
204,الغربه مش مكان الله يقويك,2
205,و اوقات ببطل فيك احساس,1
206,ما تجننيني قلتلك اعطيني وقت لحل الموضوع,0
207,ي راجل خلينا نحس بالتغيير بشويه اكشن,2
208,اخد قرارها و فتحت الباب,0
209,البنت بتسأل امها وين الفستان الاخضر المطرز اللي مره لبستو لما رحنا نشوف عروس لأحمد اخو مرت ابراهيم اللي بالكويت,3
210,هدا كذاب بيلعب عليكي لو في خير ما خان زوجته ابعدي عنه فورا,2
211,انا شخصيا بحب الاشياء العمليه اللي ممكن تستفيد منها لقدام,2
212,ليش في احلى من,1
213,كانوا عملوا المهرجان ببيتها,1
214,ما منعت حتى و انا عالمجلى امارس قيادتي,3
215,انو دولتنا صارت دوله,1
216,تقلقيش وداد بدفع عليه زكاه كل سنه مع انو مش حرزان ماشريت كتير هه,2
217,قال وصلت مرحله انو نشكر السينغال مش عارف اكتب اسمها حتى والشقيقه ام الدنيا ولا معترفه فينا,2
218,كيف يعني ولك بصير جاريه عندك انت بس امررني,0
219,والله معك حق كلو زياده حكي,3
220,نسيتيني وحدتي و خليتي حياتي تتغير حتى علاقتي بجوزي تحسنت و ولادي بطلو يهدو ازا ما سمعو قرآن,0
221,يعني طلعت افراحنا الاسلاميه حرام كمان,2
222,ليش خطير والله انا حطيت ميه نار وبحط اقراص كلور,2
223,لا يما من حكتلها انك هون,3
224,ربنا يعافينا وإياكم ويحفظ لنا اطفالنا,2
225,كلنا عنا اولاد بغلبوا وبنضرب بس مش هيك لسا الفرصه قدامك ما تضربي ابدا احضنيه لما يجي يينام اقعدي جمبه احكي معه وحسي عشعراته وفي النهار لما يعمل اشسي غلط ويعصبك احكيله غلط هيك مابصير توسخ مابصير تغلبني احكي معه بهدوء حتى هوا يهدأ دايما حنني عليه وحبيه وطولي روحك عليه والله يهديلك ياه,2
226,الو شلونك حبيبتي كنتي عم تتصلي فيني,0
227,يعني ابعتي مجموعه وانا بختار,0
228,نزلو دموعها بغزاره نزلت الستاره وركضت على تختها طفت الضو وتخبت تحت الغطا,0
229,طبعا ما دريت انا شو صار بس ع حكي امي انهم دحلوني تدحيل عالدرج لإنو ما قدرو يرفعوني عالحماله,3
230,نشط في اخر تحديث عرشه سبحان الله العظيم عددخلقه ورضانفسه وزنه عرشه ومد,1
231,انك تحب ني وتعشقني,1
232,انا وجهي حمر كمان مره و طملت راسي زي بنت ابو,3
233,بتوتر خلص انسى الي راح راح روق هلأ انت زعلان مني,0
234,قبل ما ينزل من السياره رجع اتصل عليهن وقلهن انو ربع ساعه ورح يجي عالبيت وما يخافو بنوب,0
235,اذا هالقد ذكي وقادر يعمل من ولاشي كلشي وينجح وايكبر شركه فليش مابيرد كلشي لصحابو اذا هي مابدها اتكفي معو,1
236,في هذا البلد اجازه امومه للأبقار وحضانه للعجول,1
237,فنص الشعب الأردني يكون هناك ينتظرون باصات الزرقا,3
238,جوعانه البراد ما فيه اكل,0
239,كيفك الجمله الشهيره اللي ما بيقولا غير,1
240,العمر عم يمر وانت ما عملت شي,1
241,نفق يختي تحتك مبروك,2
242,من عتمه الليل وكوابيس الذكره اخرجيني,0
243,وهي عم تحاول تتنفس انا يا خانوم افتحيلي افتحيلي الباب,0
244,هو اكيد مش قاصد انه يطلقك بيمزح يا ستي هو قصدو انه ما بدو ياكي تحملي ما ادقي كتير وطنشي,2
245,اعلامنا يكشف فضائح دولتنا مش مأجور تا يلهينا بأخبار من اخر الدني,1
246,فرح يي ولك كان حكتيلي منا قبل شوي بعتت سنابشات ل فيديو الك وانتي بتوكلي بس والله ما كنت اعرف انو القصه هيك,3
247,لا زبط معنا حظ ولا حتى السحر ولا الحجابات ولا حتى الحب و الوفاء الأمور مش راضيه تسلك معنا و تخلينا ننام ع نفس المخده,3
248,انتي قرري اي طريقه اللي بترضي ربنا مش محتاجه اقلك,2
249,يرجع السبت الاسود من جديد,1
250,اهتمي بنوعيه لبسك وبطريقه حكيك ومزحك,2
251,انو الدوله عملت قانون انتخابات قبل ايار,1
252,لا ابي في امل هاي الناس اللي مهجره هي اللي حامله القصص هي اللي شافت وذاقت انا يا ابي رح انزح معهن,0
253,جيبي خزنه صغيره وخليهم فيها وبلا هبل قال عارفه ولسه بتدخلها غرفتها,2
254,مع انو شعب نهفه وبس بدو يخفف دم وينهف بطلع معو شغلات خياليه,3
255,وهيك انقطع الحبل و الف سكين وسكين قطعت بسمتها البريئه الي ابتسمتها,0
256,كل الاحترام لكل المغتربين والمغتربين بالسعوديه خصوصا طبعا انا بحكي عن اكثر من من شباب,3
257,رأيي انك مو مصليه على النبي,0
258,هه حظ بوقع الصخر,3
259,هي الحياه واقفه ع الجوز بس,2
260,انا اقترح تفتحي مكتب او ديوان وانتي المختار اقعدي واتربعي وحلي اذا قدرتي تحلي مشاكل النسوان,2
261,يتراءى عليه وجه الحبيب مره بعيد و مره قريب,1
262,ع فكره لو الاشي الي بحكيه يصير حقيقه بتلاقي الأجانب بصيرو يصيدو الاشخاص الي بمثلو خطر عالمجتمع و هيك و يحبسوهم,3
263,الله لا يعلق حدا مع تلاته و و كميون,1
264,فأتوقع انها الشغله عادات و تقاليد و خلص خلص كيف يعني بنتنا تقعد بكفيهات و تمد بوزها و تأرجل و تطلع دخنه,3
265,طعميها عدس المفجوعه جايه تعزى شمه هوا طول النهار,2
266,والله يا اختي انا برتعب خلقه لمستيني اخر الليل,2
267,ما قدرت اتطلع فيه لان دموعي كانو بلشو يهرو,0
268,و بناء على عمايلك بتكون فرصه مشان تقيم حالتك النفسيه,3
269,والله انا كنت بدي احكى مبارح وبما انك فتحتي الموضوع كويس الاسئله الي بتنزل اغلبها الردود عليها استفزازيه يعني بتكون الوحكه بمشكله الكل بيصير يتمسخر وفي بيغلطوا كمان يعني الادمن لازم يحذر من الغلط او الاستهزاء حتى لو الموضوع عنجد تافه او شايفين,2
270,رجع عليي الولد و ما بعرف ليش قعد ع راسي و صار يضحك كان لابس بنطلون جينز من اللي ع جيابو من ورى زرار قعد ع وجهي صار يفرك حالو بوجهي بعرفش شو الجو تبعو كان بس هو الحق معو كان حاقد لانو زمان مر من حارتنا و انا بتذكر اني سلختو بلون بنص صباحو,3
271,يمكن مخدرات يا اما نشا يا اما دوا صراصير بودره يا اما والله منا عارف شو اقلك,2
272,بالعفويه و البراءه هكذا اطلت و بإنسانيه والحب هكذا اطل عطيه وبقلب طيب استضافهم في,1
273,اليوم اصحاب الشاحنات وبوكرا مزارعين التفاح وكأنوا اذا سكروا على هل الشعب المعتر المسؤولين فرقاني معن المهم تطلع براس الشعب,1
274,لانه الشخص اللي ما بيستحي وبيدخن بمكان مغلق زي السياره وما بهتم الا بنفسه وطز بالناس لازم يتأدب,2
275,بعرضك انا احلا لا,3
276,خلص الفضول بدمي بالفطره مولوده وكاله اخباريه سريه من تحت لتحت,3
277,بس ضل يحبها كتير وكان يبعتني بعيد الحب وبعيد ميلادها لاخدلها ورد وهدايا,0
278,بتوطين الفلسطينيين في,1
279,لما الواحد يكون مدايق ومش عارف شو ماله ومتخربط وافكاره مشوشه ونفسيته تعبانه ودوامه من الافكار والاحلام والخيالات بدور براسه شو يعمل,2
280,لانه المجتمع ذكوري بحت,2
281,ام الله يجبرك بخاطرك ماكان لازم اتعزبي حالك انتي كمان لالك مريض هون,0
282,نور انتي التانيه ما كل الناس مالهن حرام,0
283,يا لطيف يشمتو فيني شماته ما بشمتها العدو بعدو يعني حتى عند بيت الاحمى كنت البطه السودا,0
284,الحقني امي فوق بدي احكيك,0
285,قلي ايوه و كيف بقى,0
286,يكذب ويقول قانون التأهيل جديد,1
287,يكون عتدي قدره خارقه على اختراق الاوراق المسكره وبالذات اسئله الامتحانات الوزاريه يا ويللي,3
288,الله لا يبليكو بالإنسان البارد,3
289,ولقيت حدا عامل شير لصفحتي و كتير زعلان و كاتب انظرو الى هذا الشاب انظرو كيف يخرب اخلاق شبابنا وبناتنا,3
290,ام لك وقفي على رجليكي هلأ ابوكي بفوت وراي ليسمع موافقتك,0
291,اعمليلها تبخيره بتدوب البلغم هو الي بيخنقها ومابتعرف تطلعه لانها صغيره,2
292,ايش رأيكم بجميع الشخصيات المذكوره بالقصه,3
293,هس ديري بالك لنشوف وين رايح بهاد الوقت,0
294,انو رح نوقف العمل لتكوين مشروع انقاذي بيتخطى الثنائي ات و الاصطفافات,1
295,رنو علي الشركه الجديده و اعتذرو مني,3
296,ياملك عمل حادث والحادث عظم الله اجركم,0
297,الله يعين الحموات عالكناين,2
298,ب بالنص فول وزبطهم,3
299,مهو رسونا ع بر بدها تشتي ولا بدهاش تشتي عملتو فينا زي نتائج التوجيهي,3
300,ضلك كررى ربى انى مسنى الضر وانت ارحم الارحمين ربنا يعوضك خير يا رب,2
301,افتحولي باب السياره عالمشفى بسرعه,0
302,اي ما عاد بدي بيت لحالي منسكن عند امك لتخلص دراستك و تشتغل بشهادتك منعمر بيتنا,0
303,الله يهدي سرك ي اختي بكره بتتعودو والامور بتمشي طبيعي,2
304,البوم من اكتر الالبومات اللي بحبهن,1
305,ايوا كدا اهم حاجه الاخلاق يا بناتي,1
